date,crop_type,region,quality,quantity_kg,market_price,season,weather,market_demand,source
2023-01-15,Wheat,North,Premium,1000,45.5,Winter,Cold,High,
2023-01-20,Wheat,North,Grade_A,1500,42.3,Winter,Cold,Medium,
2023-02-10,Wheat,North,Premium,800,47.2,Winter,Rainy,High,
2023-03-05,Wheat,North,Grade_B,2000,40.1,Spring,Sunny,Low,
2023-03-20,Wheat,South,Premium,1200,48.5,Spring,Sunny,High,
2023-04-15,Rice,East,Premium,900,65.2,Spring,Moderate,High,
2023-04-25,Rice,East,Grade_A,1800,60.8,Spring,Rainy,Medium,
2023-05-10,Rice,West,Premium,1100,68.9,Summer,Hot,High,
2023-05-25,Corn,North,Grade_A,1400,35.2,Summer,Sunny,Medium,
2023-06-15,Corn,South,Premium,1600,38.7,Summer,Hot,High,
2023-07-10,Pulses,East,Grade_A,800,85.2,Monsoon,Rainy,High,
2023-07-25,Pulses,West,Premium,900,88.5,Monsoon,Humid,Medium,
2023-08-15,Vegetables,North,Premium,500,32.5,Monsoon,Rainy,High,
2023-08-30,Vegetables,South,Grade_A,700,30.8,Monsoon,Humid,Medium,
2023-09-15,Fruits,East,Premium,600,55.2,Autumn,Moderate,High,
2023-09-30,Fruits,West,Grade_A,800,52.8,Autumn,Sunny,Medium,
2023-10-15,Wheat,North,Premium,1300,46.8,Autumn,Cool,High,
2023-10-30,Wheat,South,Grade_A,1700,44.2,Autumn,Cool,Medium,
2023-11-15,Rice,East,Premium,1000,67.5,Winter,Cold,High,
2023-11-30,Rice,West,Grade_A,1200,64.8,Winter,Cold,Medium,
2023-12-15,Corn,North,Premium,1500,36.9,Winter,Cold,High,
2023-12-30,Corn,South,Grade_A,1800,34.5,Winter,Cold,Medium,
2024-02-22,Corn,East,Grade_B,1000,27.59,Winter,Humid,High,generated
2024-02-26,Rice,Northeast,Grade_C,1000,32.5,Winter,Cloudy,Low,generated
2024-02-27,Cotton,South,Premium,1500,111.52,Winter,Cloudy,Very High,generated
2024-02-28,Sugarcane,East,Premium,2000,57.68,Winter,Cloudy,Medium,generated
2024-02-28,Cotton,Northeast,Grade_A,3000,47.39,Winter,Sunny,Low,generated
2024-02-28,Rice,West,Grade_B,1000,47.68,Winter,Sunny,Low,generated
2024-02-29,Pulses,East,Grade_A,10000,79.77,Winter,Sunny,Medium,generated
2024-03-05,Vegetables,South,Premium,5000,50.81,Spring,Moderate,High,generated
2024-03-06,Soybean,North,Grade_B,800,44.9,Spring,Cloudy,High,generated
2024-03-06,Rice,Central,Grade_B,800,47.4,Spring,Sunny,Medium,generated
2024-03-08,Sugarcane,East,Grade_C,8000,20.37,Spring,Hot,Medium,generated
2024-03-09,Cotton,West,Premium,10000,83.3,Spring,Rainy,Low,generated
2024-03-12,Fruits,North,Grade_A,3000,72.02,Spring,Cold,Very High,generated
2024-03-14,Pulses,South,Grade_A,8000,83.72,Spring,Sunny,High,generated
2024-03-17,Wheat,East,Grade_A,1500,44.93,Spring,Rainy,High,generated
2024-03-17,Sugarcane,East,Grade_C,500,20.0,Spring,Moderate,Very Low,generated
2024-03-18,Soybean,South,Grade_B,10000,28.16,Spring,Hot,Very Low,generated
2024-03-23,Cotton,Northeast,Grade_A,3000,61.86,Spring,Hot,Medium,generated
2024-03-27,Soybean,West,Grade_B,800,36.84,Spring,Moderate,Low,generated
2024-03-29,Rice,Central,Grade_A,3000,47.59,Spring,Humid,Very Low,generated
2024-03-30,Soybean,West,Grade_B,800,44.26,Spring,Humid,Medium,generated
2024-03-30,Spices,West,Grade_A,10000,112.33,Spring,Moderate,Medium,generated
2024-03-30,Fruits,East,Grade_B,10000,55.17,Spring,Moderate,High,generated
2024-04-03,Soybean,Northeast,Premium,8000,67.4,Spring,Rainy,High,generated
2024-04-04,Wheat,Northeast,Grade_A,10000,49.36,Spring,Cold,High,generated
2024-04-04,Vegetables,West,Grade_C,5000,18.57,Spring,Humid,Very High,generated
2024-04-05,Fruits,Northeast,Grade_A,2000,63.83,Spring,Humid,Medium,generated
2024-04-05,Corn,East,Grade_A,5000,29.35,Spring,Moderate,Low,generated
2024-04-06,Rice,Central,Premium,8000,70.1,Spring,Sunny,Medium,generated
2024-04-09,Corn,South,Grade_C,5000,24.61,Spring,Cold,Very High,generated
2024-04-09,Rice,North,Grade_B,8000,32.57,Spring,Moderate,Very Low,generated
2024-04-10,Pulses,Central,Grade_A,10000,61.82,Spring,Cold,Very Low,generated
2024-04-10,Wheat,North,Premium,500,56.02,Spring,Cloudy,High,generated
2024-04-11,Rice,Central,Grade_C,8000,32.5,Spring,Hot,Very Low,generated
2024-04-11,Cotton,Northeast,Grade_A,8000,66.88,Spring,Rainy,High,generated
2024-04-13,Sugarcane,East,Grade_B,5000,20.76,Spring,Humid,Very Low,generated
2024-04-14,Corn,East,Grade_A,1000,25.79,Spring,Cloudy,Very Low,generated
2024-04-16,Cotton,Central,Premium,5000,84.04,Spring,Hot,High,generated
2024-04-18,Wheat,Central,Premium,1500,44.32,Spring,Hot,Low,generated
2024-04-18,Sugarcane,East,Premium,500,49.58,Spring,Sunny,Medium,generated
2024-04-18,Cotton,Northeast,Grade_B,1500,65.83,Spring,Hot,Very High,generated
2024-04-19,Cotton,North,Grade_B,3000,52.36,Spring,Humid,High,generated
2024-04-19,Pulses,North,Grade_A,8000,69.69,Spring,Cold,Low,generated
2024-04-21,Cotton,Northeast,Grade_A,1000,69.12,Spring,Humid,High,generated
2024-04-23,Wheat,South,Grade_A,3000,33.86,Spring,Rainy,Low,generated
2024-04-25,Soybean,Northeast,Grade_B,500,37.82,Spring,Moderate,High,generated
2024-04-26,Corn,South,Grade_B,8000,29.3,Spring,Cold,High,generated
2024-04-28,Soybean,South,Grade_B,8000,39.27,Spring,Cold,High,generated
2024-04-29,Cotton,North,Premium,5000,82.38,Spring,Cold,Medium,generated
2024-05-02,Vegetables,East,Grade_B,500,25.82,Spring,Sunny,High,generated
2024-05-03,Sugarcane,Northeast,Grade_B,10000,25.24,Spring,Hot,Medium,generated
2024-05-06,Wheat,East,Grade_B,1000,22.5,Spring,Humid,Very Low,generated
2024-05-08,Soybean,North,Grade_A,3000,38.6,Spring,Rainy,Low,generated
2024-05-09,Fruits,East,Grade_B,500,55.39,Spring,Hot,High,generated
2024-05-10,Rice,North,Premium,1000,74.36,Spring,Moderate,Very Low,generated
2024-05-13,Fruits,West,Grade_C,1000,35.77,Spring,Moderate,Low,generated
2024-05-13,Fruits,North,Premium,800,100.9,Spring,Moderate,Very High,generated
2024-05-15,Soybean,East,Grade_B,500,32.35,Spring,Rainy,Low,generated
2024-05-17,Cotton,Northeast,Grade_A,2000,63.82,Spring,Cloudy,Medium,generated
2024-05-17,Wheat,Northeast,Grade_B,3000,24.4,Spring,Cloudy,Very Low,generated
2024-05-18,Sugarcane,West,Grade_B,8000,34.9,Spring,Cold,Very High,generated
2024-05-22,Rice,Northeast,Premium,5000,62.95,Spring,Hot,Low,generated
2024-05-28,Cotton,North,Grade_A,8000,43.97,Spring,Cold,Very Low,generated
2024-05-29,Soybean,North,Premium,3000,68.65,Spring,Rainy,High,generated
2024-05-30,Sugarcane,Central,Premium,500,58.78,Spring,Sunny,High,generated
2024-06-02,Fruits,Central,Grade_A,1500,35.58,Monsoon,Hot,Low,generated
2024-06-02,Vegetables,West,Grade_B,3000,23.1,Monsoon,Cold,Low,generated
2024-06-03,Wheat,North,Grade_A,5000,44.27,Monsoon,Hot,Medium,generated
2024-06-03,Pulses,North,Grade_A,2000,83.76,Monsoon,Rainy,High,generated
2024-06-05,Cotton,Northeast,Premium,1500,56.75,Monsoon,Humid,Medium,generated
2024-06-05,Corn,Central,Grade_A,5000,40.29,Monsoon,Moderate,Very High,generated
2024-06-06,Soybean,Northeast,Grade_B,10000,37.37,Monsoon,Moderate,Medium,generated
2024-06-07,Vegetables,North,Grade_B,3000,20.35,Monsoon,Sunny,Very High,generated
2024-06-16,Rice,North,Grade_A,10000,62.57,Monsoon,Humid,Very High,generated
2024-06-16,Cotton,South,Grade_B,5000,30.0,Monsoon,Sunny,Low,generated
2024-06-17,Rice,Northeast,Grade_A,500,50.51,Monsoon,Humid,Low,generated
2024-06-18,Wheat,East,Premium,2000,67.37,Monsoon,Cold,Medium,generated
2024-06-18,Soybean,Central,Grade_B,8000,40.43,Monsoon,Rainy,High,generated
2024-06-20,Corn,West,Grade_B,500,22.33,Monsoon,Hot,Very Low,generated
2024-06-23,Corn,South,Grade_A,10000,29.22,Monsoon,Hot,Low,generated
2024-06-24,Corn,South,Grade_A,3000,34.91,Monsoon,Cloudy,Low,generated
2024-06-26,Sugarcane,Central,Grade_C,5000,20.0,Monsoon,Cold,Very Low,generated
2024-06-27,Spices,Central,Grade_A,800,111.46,Monsoon,Cloudy,Low,generated
2024-06-29,Fruits,East,Grade_A,10000,42.46,Monsoon,Sunny,Medium,generated
2024-07-02,Corn,North,Grade_B,800,24.36,Monsoon,Cloudy,Low,generated
2024-07-03,Pulses,South,Grade_B,500,48.18,Monsoon,Rainy,Very Low,generated
2024-07-05,Pulses,North,Grade_B,5000,72.58,Monsoon,Rainy,High,generated
2024-07-05,Pulses,Central,Grade_A,1500,68.82,Monsoon,Cloudy,Low,generated
2024-07-07,Fruits,West,Grade_A,2000,62.56,Monsoon,Rainy,High,generated
2024-07-08,Soybean,Central,Grade_A,500,56.67,Monsoon,Humid,Medium,generated
2024-07-09,Sugarcane,North,Grade_C,500,24.57,Monsoon,Hot,Very High,generated
2024-07-12,Rice,Northeast,Grade_B,5000,34.95,Monsoon,Cloudy,Very Low,generated
2024-07-13,Wheat,West,Premium,500,91.14,Monsoon,Cold,High,generated
2024-07-13,Sugarcane,South,Grade_B,1000,25.76,Monsoon,Sunny,Low,generated
2024-07-18,Sugarcane,East,Grade_B,2000,23.41,Monsoon,Rainy,Low,generated
2024-07-20,Vegetables,East,Premium,5000,23.6,Monsoon,Sunny,Very Low,generated
2024-07-22,Pulses,Central,Grade_C,500,48.97,Monsoon,Moderate,Medium,generated
2024-07-22,Wheat,North,Grade_B,1500,39.53,Monsoon,Moderate,Medium,generated
2024-07-23,Rice,South,Grade_A,500,36.63,Monsoon,Humid,Very Low,generated
2024-07-24,Sugarcane,West,Grade_A,1000,48.74,Monsoon,Humid,High,generated
2024-07-27,Cotton,West,Grade_A,3000,47.71,Monsoon,Rainy,Low,generated
2024-07-28,Cotton,West,Grade_A,1000,57.64,Monsoon,Rainy,High,generated
2024-07-28,Cotton,East,Grade_B,3000,38.78,Monsoon,Hot,High,generated
2024-07-29,Fruits,West,Grade_A,1000,38.3,Monsoon,Moderate,Medium,generated
2024-07-29,Sugarcane,Central,Grade_B,1500,26.41,Monsoon,Sunny,Medium,generated
2024-07-31,Soybean,South,Grade_B,10000,37.59,Monsoon,Rainy,Medium,generated
2024-08-03,Sugarcane,South,Grade_C,5000,26.6,Monsoon,Rainy,Very High,generated
2024-08-04,Wheat,East,Grade_C,8000,22.5,Monsoon,Sunny,Very Low,generated
2024-08-06,Pulses,West,Grade_B,500,82.48,Monsoon,Humid,High,generated
2024-08-06,Soybean,North,Grade_A,500,39.18,Monsoon,Cold,Very Low,generated
2024-08-07,Cotton,East,Grade_A,500,45.7,Monsoon,Cloudy,Low,generated
2024-08-09,Wheat,South,Premium,2000,48.29,Monsoon,Humid,Very Low,generated
2024-08-10,Pulses,West,Grade_B,1500,61.73,Monsoon,Cloudy,Low,generated
2024-08-11,Spices,West,Grade_B,1500,111.14,Monsoon,Cold,Medium,generated
2024-08-11,Rice,North,Premium,3000,49.19,Monsoon,Cloudy,Very Low,generated
2024-08-13,Sugarcane,East,Grade_B,5000,23.34,Monsoon,Moderate,Low,generated
2024-08-14,Rice,Northeast,Grade_B,1500,32.5,Monsoon,Hot,Very Low,generated
2024-08-16,Cotton,East,Grade_B,10000,30.0,Monsoon,Moderate,Medium,generated
2024-08-16,Spices,East,Grade_A,1500,90.95,Monsoon,Sunny,Low,generated
2024-08-16,Sugarcane,East,Grade_A,8000,25.7,Monsoon,Humid,Very Low,generated
2024-08-17,Cotton,North,Premium,10000,59.98,Monsoon,Moderate,Very Low,generated
2024-08-17,Pulses,Central,Grade_B,5000,68.26,Monsoon,Humid,Medium,generated
2024-08-17,Pulses,East,Grade_A,8000,82.03,Monsoon,Hot,Medium,generated
2024-08-19,Cotton,Central,Grade_A,3000,57.78,Monsoon,Cloudy,Medium,generated
2024-08-21,Fruits,East,Premium,5000,56.06,Monsoon,Rainy,High,generated
2024-08-24,Sugarcane,East,Grade_C,5000,20.0,Monsoon,Hot,Very Low,generated
2024-08-25,Rice,North,Grade_A,1500,72.77,Monsoon,Moderate,Very High,generated
2024-08-27,Cotton,Northeast,Grade_A,500,61.8,Monsoon,Rainy,High,generated
2024-08-28,Rice,North,Grade_C,1000,32.5,Monsoon,Moderate,High,generated
2024-08-29,Fruits,Northeast,Grade_B,2000,29.95,Monsoon,Sunny,Very Low,generated
2024-08-29,Corn,Northeast,Grade_B,5000,23.6,Monsoon,Sunny,Low,generated
2024-09-02,Wheat,West,Premium,1000,71.61,Autumn,Cloudy,High,generated
2024-09-02,Corn,South,Grade_B,1500,33.72,Autumn,Hot,High,generated
2024-09-02,Fruits,Northeast,Premium,1500,61.46,Autumn,Cold,Very Low,generated
2024-09-03,Soybean,Central,Premium,2000,55.55,Autumn,Cloudy,Low,generated
2024-09-06,Sugarcane,East,Grade_A,1000,41.35,Autumn,Cold,Medium,generated
2024-09-08,Wheat,Central,Grade_A,3000,46.81,Autumn,Hot,High,generated
2024-09-09,Corn,Northeast,Grade_A,5000,40.04,Autumn,Humid,Very High,generated
2024-09-10,Fruits,Central,Grade_C,800,27.5,Autumn,Moderate,High,generated
2024-09-10,Rice,North,Grade_B,500,66.27,Autumn,Hot,Very High,generated
2024-09-10,Wheat,Central,Grade_C,800,36.64,Autumn,Moderate,Very High,generated
2024-09-12,Soybean,South,Grade_A,1000,56.57,Autumn,Moderate,High,generated
2024-09-16,Fruits,West,Premium,2000,72.91,Autumn,Hot,Medium,generated
2024-09-17,Soybean,North,Premium,3000,59.64,Autumn,Cold,Medium,generated
2024-09-18,Fruits,South,Grade_A,10000,68.0,Autumn,Sunny,High,generated
2024-09-21,Vegetables,Central,Grade_B,1500,22.08,Autumn,Humid,Very Low,generated
2024-09-21,Vegetables,Northeast,Grade_B,1000,27.34,Autumn,Rainy,Low,generated
2024-09-23,Soybean,North,Premium,1000,67.07,Autumn,Cold,Medium,generated
2024-09-23,Soybean,East,Grade_A,3000,40.92,Autumn,Moderate,Medium,generated
2024-09-24,Spices,Northeast,Grade_B,1000,94.2,Autumn,Sunny,Low,generated
2024-09-26,Vegetables,Northeast,Premium,3000,66.05,Autumn,Cold,Very High,generated
2024-09-28,Soybean,South,Grade_A,3000,64.04,Autumn,Humid,High,generated
2024-10-01,Wheat,East,Grade_A,2000,40.07,Autumn,Moderate,Medium,generated
2024-10-01,Pulses,West,Grade_A,10000,68.43,Autumn,Moderate,Very Low,generated
2024-10-03,Corn,Northeast,Grade_C,800,20.24,Autumn,Cloudy,Medium,generated
2024-10-04,Vegetables,Northeast,Grade_B,5000,32.66,Autumn,Sunny,Medium,generated
2024-10-04,Vegetables,West,Grade_A,10000,47.58,Autumn,Hot,Medium,generated
2024-10-05,Corn,North,Grade_A,1500,33.53,Autumn,Hot,Medium,generated
2024-10-05,Vegetables,West,Premium,800,42.37,Autumn,Cloudy,Medium,generated
2024-10-10,Sugarcane,Central,Premium,8000,49.75,Autumn,Cloudy,Medium,generated
2024-10-10,Vegetables,East,Grade_A,1500,35.46,Autumn,Sunny,High,generated
2024-10-14,Soybean,East,Grade_A,800,47.61,Autumn,Humid,Medium,generated
2024-10-16,Rice,North,Grade_B,3000,38.17,Autumn,Hot,Low,generated
2024-10-20,Sugarcane,Central,Grade_A,500,50.61,Autumn,Humid,Very High,generated
2024-10-21,Soybean,Northeast,Premium,10000,49.48,Autumn,Moderate,Very Low,generated
2024-10-22,Vegetables,West,Grade_A,2000,42.63,Autumn,Cloudy,Medium,generated
2024-10-23,Pulses,Northeast,Grade_C,8000,42.5,Autumn,Humid,Very Low,generated
2024-10-26,Cotton,South,Grade_C,10000,33.95,Autumn,Cold,Medium,generated
2024-10-26,Corn,East,Premium,8000,37.57,Autumn,Cold,Low,generated
2024-10-28,Soybean,West,Grade_B,1500,41.53,Autumn,Hot,High,generated
2024-10-30,Pulses,South,Grade_C,1000,46.55,Autumn,Rainy,Medium,generated
2024-10-30,Corn,South,Grade_C,3000,19.8,Autumn,Cloudy,Medium,generated
2024-10-30,Rice,West,Premium,5000,83.04,Autumn,Rainy,Low,generated
2024-11-03,Fruits,Northeast,Grade_C,1500,36.41,Autumn,Sunny,High,generated
2024-11-03,Pulses,West,Grade_B,5000,60.58,Autumn,Sunny,Low,generated
2024-11-03,Wheat,East,Grade_C,10000,29.87,Autumn,Sunny,Very High,generated
2024-11-06,Wheat,West,Grade_A,8000,51.38,Autumn,Cloudy,Low,generated
2024-11-06,Vegetables,Northeast,Grade_B,8000,30.73,Autumn,Cold,Medium,generated
2024-11-08,Rice,East,Grade_C,8000,32.93,Autumn,Rainy,Low,generated
2024-11-09,Spices,West,Grade_C,3000,73.69,Autumn,Rainy,High,generated
2024-11-20,Fruits,North,Premium,10000,62.16,Autumn,Moderate,Medium,generated
2024-11-22,Corn,Central,Grade_A,5000,35.81,Autumn,Rainy,High,generated
2024-11-28,Wheat,East,Premium,5000,65.69,Autumn,Cloudy,High,generated
2024-12-01,Rice,East,Premium,500,90.13,Winter,Sunny,Medium,generated
2024-12-02,Wheat,South,Grade_B,3000,30.97,Winter,Sunny,Medium,generated
2024-12-07,Wheat,South,Grade_B,5000,43.27,Winter,Cloudy,High,generated
2024-12-09,Pulses,East,Grade_A,800,102.11,Winter,Hot,High,generated
2024-12-10,Wheat,North,Grade_B,10000,24.69,Winter,Cold,Very Low,generated
2024-12-10,Sugarcane,South,Grade_C,10000,27.52,Winter,Moderate,Medium,generated
2024-12-12,Soybean,South,Premium,8000,74.89,Winter,Cloudy,High,generated
2024-12-13,Sugarcane,Northeast,Grade_A,8000,44.17,Winter,Cloudy,Low,generated
2024-12-14,Fruits,East,Grade_A,5000,56.31,Winter,Sunny,Medium,generated
2024-12-15,Spices,Northeast,Grade_A,800,84.65,Winter,Sunny,Very Low,generated
2024-12-16,Cotton,Central,Grade_A,500,46.28,Winter,Rainy,Low,generated
2024-12-16,Soybean,North,Grade_B,10000,33.97,Winter,Rainy,Low,generated
2024-12-20,Sugarcane,North,Premium,2000,44.5,Winter,Cold,Very Low,generated
2024-12-21,Pulses,Northeast,Premium,10000,89.7,Winter,Cloudy,Very Low,generated
2024-12-21,Rice,Central,Grade_C,2000,37.67,Winter,Humid,High,generated
2024-12-23,Vegetables,South,Grade_C,2000,34.22,Winter,Sunny,Medium,generated
2024-12-24,Soybean,North,Premium,500,70.78,Winter,Cloudy,Medium,generated
2024-12-28,Rice,South,Grade_B,5000,49.14,Winter,Cloudy,High,generated
2024-12-30,Wheat,Central,Grade_A,1500,37.15,Winter,Cold,Low,generated
2024-12-31,Rice,South,Premium,500,63.27,Winter,Cold,Very Low,generated
2025-01-01,Spices,West,Grade_B,500,80.95,Winter,Cloudy,Medium,generated
2025-01-03,Sugarcane,Northeast,Grade_B,1500,40.02,Winter,Humid,Medium,generated
2025-01-07,Sugarcane,East,Grade_A,5000,50.29,Winter,Hot,Medium,generated
2025-01-09,Sugarcane,West,Premium,1000,74.62,Winter,Cloudy,High,generated
2025-01-10,Soybean,East,Grade_B,3000,37.36,Winter,Sunny,High,generated
2025-01-11,Soybean,East,Grade_B,5000,33.51,Winter,Moderate,Low,generated
2025-01-13,Vegetables,Northeast,Grade_B,2000,33.81,Winter,Rainy,High,generated
2025-01-16,Soybean,West,Grade_B,500,33.54,Winter,Cloudy,Low,generated
2025-01-18,Vegetables,Central,Grade_A,3000,28.58,Winter,Cloudy,Medium,generated
2025-01-25,Rice,North,Premium,5000,58.13,Winter,Cloudy,Medium,generated
2025-01-27,Pulses,South,Grade_B,10000,64.79,Winter,Cold,High,generated
2025-01-27,Wheat,Central,Grade_A,8000,32.06,Winter,Hot,Very Low,generated
2025-01-28,Rice,Central,Grade_B,3000,53.15,Winter,Humid,Medium,generated
2025-01-30,Rice,Northeast,Grade_A,1500,64.39,Winter,Humid,High,generated
2025-01-30,Wheat,Northeast,Premium,2000,43.82,Winter,Sunny,Very Low,generated
2025-02-03,Rice,North,Grade_B,1500,54.86,Winter,Sunny,High,generated
2025-02-03,Fruits,South,Grade_A,500,68.43,Winter,Rainy,High,generated
2025-02-04,Fruits,North,Grade_A,1500,52.91,Winter,Humid,Low,generated
2025-02-07,Fruits,West,Grade_C,500,31.71,Winter,Rainy,Very Low,generated
2025-02-09,Fruits,West,Grade_A,800,59.74,Winter,Sunny,Medium,generated
